"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"10uF";"10UF-POLAR-RADIAL-2.5MM-25V-20%";"CPOL-RADIAL-2.5MM-5MM";"10.0µF polarized capacitors";"CAP-08440";"10uF";
"C2";".1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"CAP-08370";"0.1uF";
"C3";"10nF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"CAP-08370";"0.1uF";
"C4";".1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"CAP-08370";"0.1uF";
"C5";".1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"CAP-08370";"0.1uF";
"C6";"220uF";"10UF-POLAR-RADIAL-2.5MM-25V-20%";"CPOL-RADIAL-2.5MM-5MM";"10.0µF polarized capacitors";"CAP-08440";"10uF";
"D1";"";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"1A/50V/1.1V";
"D2";"";"LED3MM";"LED_3MM";"LED (Generic)";"DIO-08794";"";
"D3";"";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"1A/50V/1.1V";
"D4";"";"LED3MM";"LED_3MM";"LED (Generic)";"DIO-08794";"";
"D5";"";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"1A/50V/1.1V";
"D6";"";"LED3MM";"LED_3MM";"LED (Generic)";"DIO-08794";"";
"D7";"";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"1A/50V/1.1V";
"D8";"";"LED3MM";"LED_3MM";"LED (Generic)";"DIO-08794";"";
"IC1";"556";"556";"DIP14";"556 Dual 555 timer";"IC-11898";"556";
"IC2";"4017N";"4017N";"DIL16";"COUNTER/DIVIDER";"";"";
"IC3";"CD4040 / MC14040";"4040N";"DIL16";"12-stage binary/ripple COUNTER";"";"";
"IC4";"LM386";"LM386";"DIP08";"low voltage audio power amplifier";"IC-10899";"LM386N";
"J1";"ON/OFF";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J2";"- 9V +";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J3";"- SPK +";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"R1";"680";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R2";"220";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R3";"5.6K";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R4";"10K";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R5";"1K";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R6";"1K";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R7";"1K";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R8";"1K";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R9";"10k";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R10";"10k";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R11";"10k";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"R12";"10k";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"1k";
"SW1";"";"SW_DIP-4";"EDG-04";"DIP SWITCH";"";"";
"VR1";"50K";"POTTRIM";"TRIM_POT";"";"COM-00104";"";
"VR2";"50K";"POTTRIM";"TRIM_POT";"";"COM-00104";"";
"VR3";"50K";"POTTRIM";"TRIM_POT";"";"COM-00104";"";
"VR4";"50K";"POTTRIM";"TRIM_POT";"";"COM-00104";"";
"VR5";"50K";"POTTRIM";"TRIM_POT";"";"COM-00104";"";
"VR6";"1K";"POTTRIM";"TRIM_POT";"";"COM-00104";"";
